,Country,Year,"Crude divorce rate (per 1,000 inhabitants)"
10,Albania,1970,0.80000001
11,Albania,1971,0.80000001
12,Albania,1972,0.80000001
13,Albania,1973,0.80000001
14,Albania,1974,0.80000001
15,Albania,1975,0.80000001
16,Albania,1976,0.80000001
17,Albania,1977,0.80000001
18,Albania,1978,0.69999999
19,Albania,1979,0.69999999
20,Albania,1980,0.80000001
21,Albania,1981,0.80000001
22,Albania,1982,0.80000001
23,Albania,1983,0.80000001
24,Albania,1984,0.80000001
25,Albania,1985,0.80000001
26,Albania,1986,0.80000001
27,Albania,1987,0.80000001
28,Albania,1988,0.80000001
29,Albania,1989,0.80000001
30,Albania,1990,0.80000001
31,Albania,1991,0.69999999
32,Albania,1992,0.69999999
33,Albania,1993,0.69999999
34,Albania,1994,0.69999999
35,Albania,1995,0.69999999
36,Albania,1996,0.60000002
37,Albania,1997,0.40000001
38,Albania,1998,0.60000002
39,Albania,1999,0.69999999
40,Albania,2000,0.69999999
41,Albania,2001,0.80000001
42,Albania,2002,1.1
43,Albania,2003,1.2
44,Albania,2004,0.89999998
45,Albania,2005,1.3
46,Albania,2006,1.3
47,Albania,2007,1.0
48,Albania,2008,1.1
49,Albania,2014,1.5
50,Albania,2015,1.3
51,Albania,2016,1.9
52,Albania,2017,1.6
85,Australia,1970,1.0
86,Australia,1980,2.7
87,Australia,1981,2.8
88,Australia,1982,2.9000001
89,Australia,1983,2.8
90,Australia,1984,2.8
91,Australia,1985,2.5
92,Australia,1986,2.5
93,Australia,1987,2.4000001
94,Australia,1988,2.5
95,Australia,1989,2.5
96,Australia,1990,2.5
97,Australia,1991,2.5999999
98,Australia,1992,2.5999999
99,Australia,1993,2.7
100,Australia,1994,2.7
101,Australia,1995,2.8
102,Australia,1996,2.9000001
103,Australia,1997,2.8
104,Australia,1998,2.7
105,Australia,1999,2.8
106,Australia,2000,2.5999999
107,Australia,2001,2.8
108,Australia,2002,2.7
109,Australia,2003,2.7
110,Australia,2004,2.5999999
111,Australia,2005,2.5999999
112,Australia,2006,2.5
113,Australia,2007,2.3
114,Australia,2008,2.2
115,Australia,2009,2.3
116,Australia,2010,2.3
117,Australia,2011,2.2
118,Australia,2012,2.2
119,Australia,2013,2.0999999
120,Australia,2014,2.0
121,Australia,2015,2.0
122,Australia,2016,1.9
123,Australia,2017,2.0
134,Austria,1970,1.4
135,Austria,1971,1.3
